Quarta-feira, 7 de abril de 2021;
09:00AM - 10:00AM;ST01 - Chair: Rafael Gonçalves
;Factors Influencing Undergraduate Software Engineering Course Choice Among Students
;André Barros de Sales, Paula Meyer Soares, Universidade de Brasília, Brazil
;Tatiane Evangelista, Universidade Federal do Triângulo Mineiro - UFTM, Brazil.
;A study based on TAM model about debugging tools
;Fábio da Silva, University of São Paulo, Brazil.
;Implementando o Gitflow para Gerencia de Configuração em Um Projeto de Desenvolvimento de Software Ágil: Um Relato de Experiência
;Luis Rivero, Universidade Federal do Maranhão - UFMA, Brazil
;Italo Silva, Federal University of Maranhão, Brazil
;Pedro Thiago Cutrim dos Santos, Universidade Federal do Maranhão, Brazil
;Domingos Dias, UFMA, Brazil
;Geraldo Braz Junior, Universidade Federal do Maranhão, Brazil
;Anselmo Cardoso de Paiva, Universidade Federal do Maranhão (UFMA), Brazil
;Erika Wilza Brito de Assis Lorenzo Alves, Milton Oliveira, Equatorial Energia S/A, Brazil.
;Projeto de Extensão como Exercício Interdisciplinar das Técnicas de Análise e Desenvolvimento de Sistemas: Estudo de Caso
;Denilson Fagundes Barbosa, Instituto Federal de Santa Catarina, Brazil
;Alexandre Abreu, IFSC, Brazil.
10:00AM - 11:00AM;ST02 - Chair: Daniela Moreira
;Criação de um protótipo para auxiliar no processo de desenvolvimento de aplicativos mobile para o público idoso
;Fernanda Marcilio, Daniela Moreira, Universidade do Vale do Itajaí, Brazil
;Anita Fernandes, UNIVALI, Brazil.
;Desafios de Pessoas Idosas na utilização de Smart TVs: avaliando a comunicabilidade do NET Now
;Carmen Brezolin, Instituto Federal de Educação Ciência e Tecnologia do Rio Grande do Sul, Brazil
;Fernado Wolf Bona, PUCRS, Brazil
;Telcio Cardoso, Milene Silveira, Pontificia Universidade Catolica do Rio Grande do Sul - PUCRS, Brazil
;Afonso Sales, PUCRS, Brazil.
;Teste de Usabilidade com Jogos para Ensino-Aprendizado de Lógica Matemática
;Bruna Dias, Alice Finger, Universidade Federal do Pampa, Brazil.
;Usabilidade, Design e Interface para Usuários Idosos: uma experiência em uma Casa de Apoio
;Arthur Artoni, UEL - Universidade Estadual de Londrina, Brazil
;Bruno Oliveira, Universidade Estadual de Londrina (UEL), Brazil
;Cinthyan Renata Barbosa, UEL - Universidade Estadual de Londrina, Brazil
;Vanessa Tavares de Oliveira Barros, Universidade Estadual de Londrina, Brazil.
11:00AM - 12:00PM;ST03 - Chair: Leandro Escobar
;Modelo de Predição de Conforto de Usuários do Transporte Coletivo
;Vanessa Rolim, Instituo Federal Catarinense, Brazil
;Fabiano Baldo, Santa Catarina State University, Brazil.
;Utilizando Análise de Sentimentos e SVM na Classificação de Tweets Depressivos
;Omar Cortes, IFMA, Brazil
;Wesley Eduardo de Oliveira Melo, Instituto Federal do Maranhão, Brazil.
;Google Summer of Code Gender Diversity: An analysis of the last 4 editions
;Jhemeson Mota, Centro Universitário Luterano de Palmas, Brazil
;Edna Dias Canedo, University of Brasília, Brazil
;Marcio Okimoto, Universidade de Brasília, Brazil
;Jhonatan Silva Mota, Centro Universitário Luterano de Palmas, Brazil.
;Exploração de modelos de machine learning e seleção de features para o problema de Employee Attrition
;Rudson Mendes, Federal University of Santa Catarina, Brazil
;João Ribeiro de Jesus, UNIVALI, Brazil.
14:00PM - 15:30PM;ST04 - Chair: Douglas Melo
;A Basic Microkernel for the RISC-V Instruction Set Architecture
;Benjamin Mezger, Fabricio Bortoluzzi, Cesar Zeferino, Paulo Valim, Douglas Melo, Universidade do Vale do Itajaí, Brazil.
;Uma Proposta open source de baixo custo para Proteção e Geolocalização de bebês em Veículos Automotores (SafeBaby)
